StateDesc,CityName,ComboName,AVG_SleepValue_2016,AVG_AsthmaValue_2017,Avg_Median_AQI_2017,MedianAQI_Norm
Washington,Yakima,"Yakima, Washington",37.1,12.5,27,0.164
California,Compton,"Compton, California",37,13.4,49.1,0.889
Florida,Deerfield Beach,"Deerfield Beach, Florida",37,11.1,36.9,0.489
Missouri,Independence,"Independence, Missouri",37,11.3,35.8,0.452
California,El Monte,"El Monte, California",36.9,9.4,49.1,0.889
Massachusetts,Boston,"Boston, Massachusetts",36.8,14.8,37.5,0.508
Illinois,Peoria,"Peoria, Illinois",36.8,14.6,36.2,0.466
Pennsylvania,Scranton,"Scranton, Pennsylvania",36.8,12.2,40.7,0.613
California,Carson,"Carson, California",36.7,12.4,49.1,0.889
North Carolina,Gastonia,"Gastonia, North Carolina",36.7,12.6,36.6,0.479
Florida,Plantation,"Plantation, Florida",36.7,10.6,36.9,0.489
Maine,Portland,"Portland, Maine",36.7,12.1,33.8,0.387
California,Richmond,"Richmond, California",36.7,11.6,49.1,0.889
Illinois,Springfield,"Springfield, Illinois",36.7,14.5,36.2,0.466
Arizona,Gilbert,"Gilbert, Arizona",36.6,11.1,47.2,0.826
Wisconsin,Madison,"Madison, Wisconsin",36.6,12.4,35.7,0.449
California,Anaheim,"Anaheim, California",36.5,9.5,49.1,0.889
Florida,Boca Raton,"Boca Raton, Florida",36.5,9.6,36.9,0.489
California,Carlsbad,"Carlsbad, California",36.5,8.6,49.1,0.889
California,Fontana,"Fontana, California",36.5,10,49.1,0.889
California,Hayward,"Hayward, California",36.5,10.2,49.1,0.889
California,Hesperia,"Hesperia, California",36.5,10.6,49.1,0.889
Florida,Hollywood,"Hollywood, Florida",36.5,11.3,36.9,0.489
California,Lakewood,"Lakewood, California",36.5,9.1,49.1,0.889
California,Menifee,"Menifee, California",36.5,9.4,49.1,0.889
California,Modesto,"Modesto, California",36.5,11.3,49.1,0.889
California,Oakland,"Oakland, California",36.5,13.3,49.1,0.889
Nebraska,Omaha,"Omaha, Nebraska",36.5,12,28.6,0.216
Missouri,St. Joseph,"St. Joseph, Missouri",36.5,11.7,35.8,0.452
Florida,Tampa,"Tampa, Florida",36.5,14.3,36.9,0.489
Texas,Beaumont,"Beaumont, Texas",36.4,12.7,32.9,0.357
California,Elk Grove,"Elk Grove, California",36.4,10.5,49.1,0.889
Indiana,Lafayette,"Lafayette, Indiana",36.4,11,35.5,0.443
Oregon,Salem,"Salem, Oregon",36.4,12.7,28.7,0.22
California,Salinas,"Salinas, California",36.4,10.3,49.1,0.889
New Hampshire,Manchester,"Manchester, New Hampshire",36.3,12.7,36,0.459
California,San Leandro,"San Leandro, California",36.3,9.7,49.1,0.889
Louisiana,Shreveport,"Shreveport, Louisiana",36.3,13.2,35,0.426
Ohio,Toledo,"Toledo, Ohio",36.3,14.6,35.5,0.443
Texas,Baytown,"Baytown, Texas",36.2,9.1,32.9,0.357
California,Chino Hills,"Chino Hills, California",36.2,8.5,49.1,0.889
Arizona,Glendale,"Glendale, Arizona",36.2,12.4,47.2,0.826
Texas,Killeen,"Killeen, Texas",36.2,10.3,32.9,0.357
California,Merced,"Merced, California",36.2,10.7,49.1,0.889
California,Norwalk,"Norwalk, California",36.2,10.6,49.1,0.889
California,Antioch,"Antioch, California",36.1,11.8,49.1,0.889
North Carolina,High Point,"High Point, North Carolina",36.1,13.9,36.6,0.479
California,Los Angeles,"Los Angeles, California",36.1,13.7,49.1,0.889
California,Union City,"Union City, California",36.1,8.4,49.1,0.889
California,Upland,"Upland, California",36.1,9.3,49.1,0.889
Florida,Coral Springs,"Coral Springs, Florida",36,9.5,36.9,0.489
Texas,Edinburg,"Edinburg, Texas",36,8.7,32.9,0.357
California,Lynwood,"Lynwood, California",36,11.3,49.1,0.889
District of Columbia,Washington,"Washington, District of Columbia",36,15.3,51,0.951
Florida,Davie,"Davie, Florida",35.9,8.6,36.9,0.489
California,Fairfield,"Fairfield, California",35.9,11.6,49.1,0.889
Texas,Grand Prairie,"Grand Prairie, Texas",35.9,9.9,32.9,0.357
Florida,Pembroke Pines,"Pembroke Pines, Florida",35.9,9.7,36.9,0.489
California,Riverside,"Riverside, California",35.9,10,49.1,0.889
Massachusetts,Somerville,"Somerville, Massachusetts",35.9,11.1,37.5,0.508
Alabama,Hoover,"Hoover, Alabama",35.8,11.3,38.3,0.534
Texas,Houston,"Houston, Texas",35.8,13.5,32.9,0.357
Connecticut,New Haven,"New Haven, Connecticut",35.8,15,38.4,0.538
California,Simi Valley,"Simi Valley, California",35.8,9.7,49.1,0.889
Texas,Tyler,"Tyler, Texas",35.8,11.6,32.9,0.357
California,West Covina,"West Covina, California",35.8,8.7,49.1,0.889
Missouri,Columbia,"Columbia, Missouri",35.7,12.2,35.8,0.452
Texas,Laredo,"Laredo, Texas",35.7,9.3,32.9,0.357
Michigan,Livonia,"Livonia, Michigan",35.7,11.2,35.4,0.439
Florida,Melbourne,"Melbourne, Florida",35.7,11,36.9,0.489
Illinois,Chicago,"Chicago, Illinois",35.6,14.9,36.2,0.466
California,Garden Grove,"Garden Grove, California",35.6,8.9,49.1,0.889
Texas,Missouri City,"Missouri City, Texas",35.6,11.2,32.9,0.357
Florida,Palm Bay,"Palm Bay, Florida",35.6,9.2,36.9,0.489
California,Tracy,"Tracy, California",35.6,9.9,49.1,0.889
Iowa,Waterloo,"Waterloo, Iowa",35.6,12.9,35.8,0.452
North Carolina,Greensboro,"Greensboro, North Carolina",35.5,13.7,36.6,0.479
Florida,Miami,"Miami, Florida",35.5,12.7,36.9,0.489
California,Santa Ana,"Santa Ana, California",35.5,9.9,49.1,0.889
Texas,Brownsville,"Brownsville, Texas",35.4,9.2,32.9,0.357
Massachusetts,Cambridge,"Cambridge, Massachusetts",35.4,11.7,37.5,0.508
Texas,Dallas,"Dallas, Texas",35.4,13.6,32.9,0.357
Washington,Everett,"Everett, Washington",35.4,11.6,27,0.164
Arkansas,Fayetteville,"Fayetteville, Arkansas",35.4,10.4,37.1,0.495
Texas,Longview,"Longview, Texas",35.4,11.1,32.9,0.357
California,Manteca,"Manteca, California",35.4,10.1,49.1,0.889
Arizona,Mesa,"Mesa, Arizona",35.4,12.1,47.2,0.826
Illinois,Rockford,"Rockford, Illinois",35.4,13.9,36.2,0.466
Michigan,Sterling Heights,"Sterling Heights, Michigan",35.4,11.4,35.4,0.439
California,Vista,"Vista, California",35.4,10.2,49.1,0.889
Texas,Amarillo,"Amarillo, Texas",35.3,11.5,32.9,0.357
California,Citrus Heights,"Citrus Heights, California",35.3,11.7,49.1,0.889
California,Alhambra,"Alhambra, California",35.2,7.7,49.1,0.889
California,Fresno,"Fresno, California",35.2,12.6,49.1,0.889
California,Lake Forest,"Lake Forest, California",35.2,8.8,49.1,0.889
Tennessee,Nashville,"Nashville, Tennessee",35.2,16.9,36.9,0.489
Florida,Palm Coast,"Palm Coast, Florida",35.2,9.1,36.9,0.489
California,Fremont,"Fremont, California",35.1,8.5,49.1,0.889
Wisconsin,Green Bay,"Green Bay, Wisconsin",35.1,11.8,35.7,0.449
Connecticut,Norwalk,"Norwalk, Connecticut",35.1,10.8,38.4,0.538
California,Chico,"Chico, California",35,11.3,49.1,0.889
California,Downey,"Downey, California",35,9.2,49.1,0.889
California,Tustin,"Tustin, California",35,9.3,49.1,0.889
South Carolina,Charleston,"Charleston, South Carolina",34.9,13.4,35.6,0.446
Mississippi,Jackson,"Jackson, Mississippi",34.9,13.7,36.4,0.472
Texas,Lewisville,"Lewisville, Texas",34.8,9.3,32.9,0.357
Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma",34.8,14.3,35.4,0.439
California,Redlands,"Redlands, California",34.8,10,49.1,0.889
Alabama,Tuscaloosa,"Tuscaloosa, Alabama",34.8,14.5,38.3,0.534
Arizona,Chandler,"Chandler, Arizona",34.7,11.2,47.2,0.826
Illinois,Cicero,"Cicero, Illinois",34.7,9,36.2,0.466
California,Daly City,"Daly City, California",34.7,8,49.1,0.889
Texas,Fort Worth,"Fort Worth, Texas",34.7,13.4,32.9,0.357
California,Fullerton,"Fullerton, California",34.7,9.3,49.1,0.889
Texas,Garland,"Garland, Texas",34.7,10.2,32.9,0.357
Illinois,Joliet,"Joliet, Illinois",34.7,12.6,36.2,0.466
Texas,Odessa,"Odessa, Texas",34.7,9.9,32.9,0.357
California,Palmdale,"Palmdale, California",34.7,12.4,49.1,0.889
Arizona,Peoria,"Peoria, Arizona",34.7,11.8,47.2,0.826
Nevada,Sparks,"Sparks, Nevada",34.7,11.1,38.1,0.528
Florida,Cape Coral,"Cape Coral, Florida",34.6,8.8,36.9,0.489
California,Concord,"Concord, California",34.6,9.9,49.1,0.889
Illinois,Decatur,"Decatur, Illinois",34.6,13.5,36.2,0.466
Kansas,Topeka,"Topeka, Kansas",34.6,11.3,32.6,0.348
Illinois,Aurora,"Aurora, Illinois",34.5,12.7,36.2,0.466
Florida,Gainesville,"Gainesville, Florida",34.5,12.2,36.9,0.489
Oklahoma,Lawton,"Lawton, Oklahoma",34.5,13.1,35.4,0.439
Indiana,South Bend,"South Bend, Indiana",34.5,13.2,35.5,0.443
California,Stockton,"Stockton, California",34.5,11.3,49.1,0.889
Arizona,Surprise,"Surprise, Arizona",34.5,10.8,47.2,0.826
California,Pasadena,"Pasadena, California",34.4,10.3,49.1,0.889
Colorado,Pueblo,"Pueblo, Colorado",34.4,12.5,36.4,0.472
Washington,Spokane Valley,"Spokane Valley, Washington",34.4,12.2,27,0.164
Arkansas,Springdale,"Springdale, Arkansas",34.4,10.1,37.1,0.495
California,Torrance,"Torrance, California",34.4,8.5,49.1,0.889
Texas,Irving,"Irving, Texas",34.3,9.7,32.9,0.357
Utah,Ogden,"Ogden, Utah",34.3,10.9,44.2,0.728
Arizona,Phoenix,"Phoenix, Arizona",34.3,13.1,47.2,0.826
New Mexico,Santa Fe,"Santa Fe, New Mexico",34.3,10.6,31.9,0.325
Illinois,Schaumburg,"Schaumburg, Illinois",34.3,8.8,36.2,0.466
Arizona,Tempe,"Tempe, Arizona",34.3,12.2,47.2,0.826
Rhode Island,Warwick,"Warwick, Rhode Island",34.3,12.5,34.3,0.403
California,Westminster,"Westminster, California",34.3,8.3,49.1,0.889
Alaska,Anchorage,"Anchorage, Alaska",34.2,10.6,22,0
North Carolina,Concord,"Concord, North Carolina",34.2,12.2,36.6,0.479
Texas,Corpus Christi,"Corpus Christi, Texas",34.2,10,32.9,0.357
Texas,Denton,"Denton, Texas",34.2,10.8,32.9,0.357
Illinois,Elgin,"Elgin, Illinois",34.2,9.8,36.2,0.466
Florida,Hialeah,"Hialeah, Florida",34.2,7.8,36.9,0.489
California,Murrieta,"Murrieta, California",34.2,9.5,49.1,0.889
California,Rancho Cucamonga,"Rancho Cucamonga, California",34.2,9.5,49.1,0.889
Illinois,Waukegan,"Waukegan, Illinois",34.2,12,36.2,0.466
Florida,Boynton Beach,"Boynton Beach, Florida",34.1,10.3,36.9,0.489
Illinois,Champaign,"Champaign, Illinois",34.1,12.3,36.2,0.466
California,Chula Vista,"Chula Vista, California",34.1,9.8,49.1,0.889
California,Escondido,"Escondido, California",34.1,9.9,49.1,0.889
Missouri,St. Louis,"St. Louis, Missouri",34.1,15.4,35.8,0.452
Texas,McAllen,"McAllen, Texas",34,8.7,32.9,0.357
Oklahoma,Norman,"Norman, Oklahoma",34,12.6,35.4,0.439
Texas,San Angelo,"San Angelo, Texas",34,9.4,32.9,0.357
Florida,Tallahassee,"Tallahassee, Florida",34,12.4,36.9,0.489
Texas,Arlington,"Arlington, Texas",33.9,10.4,32.9,0.357
Texas,Bryan,"Bryan, Texas",33.9,10.7,32.9,0.357
California,Buena Park,"Buena Park, California",33.9,9.3,49.1,0.889
Wisconsin,Kenosha,"Kenosha, Wisconsin",33.9,11.8,35.7,0.449
North Carolina,Winston-Salem,"Winston-Salem, North Carolina",33.9,14.9,36.6,0.479
California,Alameda,"Alameda, California",33.8,9.4,49.1,0.889
Illinois,Bolingbrook,"Bolingbrook, Illinois",33.8,10.3,36.2,0.466
California,Livermore,"Livermore, California",33.8,9.6,49.1,0.889
California,Mountain View,"Mountain View, California",33.8,8.5,49.1,0.889
Texas,Round Rock,"Round Rock, Texas",33.8,9.1,32.9,0.357
California,Victorville,"Victorville, California",33.8,10.8,49.1,0.889
Washington,Bellingham,"Bellingham, Washington",33.7,12.7,27,0.164
North Carolina,Charlotte,"Charlotte, North Carolina",33.7,13.8,36.6,0.479
Indiana,Evansville,"Evansville, Indiana",33.7,13.5,35.5,0.443
Texas,McKinney,"McKinney, Texas",33.7,9.4,32.9,0.357
Texas,San Antonio,"San Antonio, Texas",33.7,11.2,32.9,0.357
California,Whittier,"Whittier, California",33.7,9.1,49.1,0.889
Texas,College Station,"College Station, Texas",33.6,10.8,32.9,0.357
California,Costa Mesa,"Costa Mesa, California",33.6,9.5,49.1,0.889
Arkansas,Fort Smith,"Fort Smith, Arkansas",33.6,11.4,37.1,0.495
California,Turlock,"Turlock, California",33.6,10.6,49.1,0.889
Illinois,Bloomington,"Bloomington, Illinois",33.5,11.7,36.2,0.466
Wyoming,Cheyenne,"Cheyenne, Wyoming",33.5,10.9,38.5,0.541
Texas,Lubbock,"Lubbock, Texas",33.5,11.8,32.9,0.357
Texas,Mission,"Mission, Texas",33.5,8.7,32.9,0.357
Massachusetts,Quincy,"Quincy, Massachusetts",33.5,10.9,37.5,0.508
North Carolina,Raleigh,"Raleigh, North Carolina",33.5,13.2,36.6,0.479
California,San Jose,"San Jose, California",33.5,9.8,49.1,0.889
Washington,Tacoma,"Tacoma, Washington",33.5,13.5,27,0.164
California,Folsom,"Folsom, California",33.4,10.8,49.1,0.889
Nevada,Reno,"Reno, Nevada",33.4,11.3,38.1,0.528
California,Roseville,"Roseville, California",33.4,10,49.1,0.889
California,Santa Rosa,"Santa Rosa, California",33.4,10.3,49.1,0.889
Arizona,Tucson,"Tucson, Arizona",33.4,12,47.2,0.826
Texas,Abilene,"Abilene, Texas",33.3,11.3,32.9,0.357
Texas,Allen,"Allen, Texas",33.3,8.8,32.9,0.357
Illinois,Arlington Heights,"Arlington Heights, Illinois",33.3,9.6,36.2,0.466
California,Berkeley,"Berkeley, California",33.3,10.1,49.1,0.889
West Virginia,Charleston,"Charleston, West Virginia",33.3,13.5,31.6,0.315
Washington,Federal Way,"Federal Way, Washington",33.3,10.6,27,0.164
Oregon,Hillsboro,"Hillsboro, Oregon",33.3,11,28.7,0.22
Washington,Kent,"Kent, Washington",33.3,11.4,27,0.164
Texas,Midland,"Midland, Texas",33.2,9.5,32.9,0.357
Texas,Pasadena,"Pasadena, Texas",33.2,8.8,32.9,0.357
Michigan,Rochester Hills,"Rochester Hills, Michigan",33.2,11.9,35.4,0.439
California,San Buenaventura,"San Buenaventura, California",33.2,9.7,49.1,0.889
Missouri,Springfield,"Springfield, Missouri",33.2,11.9,35.8,0.452
Michigan,Troy,"Troy, Michigan",33.2,10.5,35.4,0.439
California,Visalia,"Visalia, California",33.2,10.4,49.1,0.889
Massachusetts,Worcester,"Worcester, Massachusetts",33.2,14.2,37.5,0.508
Arkansas,Jonesboro,"Jonesboro, Arkansas",33.1,11.7,37.1,0.495
Washington,Kennewick,"Kennewick, Washington",33.1,11.6,27,0.164
